,ClusterID
cell1855,2
cell718,0
cell1328,0
cell243,0
cell133,0
cell294,1
cell980,0
cell281,1
cell1282,0
cell1276,0
cell1475,0
cell1664,3
cell934,0
cell465,2
cell1854,2
cell283,1
cell1007,0
cell368,1
cell940,0
cell1629,3
cell1838,2
cell1979,2
cell1129,0
cell603,0
cell1469,0
cell285,1
cell1961,2
cell422,2
cell260,1
cell1492,0
cell1970,2
cell938,0
cell890,0
cell1457,0
cell1446,0
cell8,0
cell1521,0
cell625,0
cell1105,0
cell161,0
cell17,0
cell1197,0
cell827,0
cell688,0
cell1379,0
cell1552,3
cell1752,3
cell767,0
cell1582,3
cell1830,2
cell314,1
cell650,0
cell496,2
cell1868,2
cell479,2
cell721,0
cell652,0
cell1270,0
cell593,0
cell196,0
cell232,0
cell1449,0
cell149,0
cell1726,3
cell1824,2
cell93,0
cell10,0
cell299,1
cell1416,0
cell68,0
cell1974,2
cell276,1
cell948,0
cell1958,2
cell1654,3
cell1867,2
cell1779,3
cell1250,0
cell1783,3
cell411,1
cell1382,0
cell848,0
cell147,0
cell1482,0
cell1967,2
cell169,0
cell1125,0
cell440,2
cell523,2
cell125,0
cell548,2
cell875,0
cell999,0
cell581,2
cell1235,0
cell288,1
cell1573,3
cell772,0
cell974,0
cell1741,3
cell1078,0
cell733,0
cell1842,2
cell1792,3
cell1184,0
cell1069,0
cell1588,3
cell267,1
cell822,0
cell1661,3
cell1314,0
cell1896,2
cell1249,0
cell591,0
cell1724,3
cell40,0
cell706,0
cell219,0
cell74,0
cell1870,2
cell847,0
cell642,0
cell546,2
cell1103,0
cell1032,0
cell1701,3
cell1277,0
cell1826,2
cell1718,3
cell693,0
cell309,1
cell883,0
cell1316,0
cell816,0
cell292,1
cell1049,0
cell634,0
cell296,1
cell1537,0
cell298,1
cell560,2
cell624,0
cell1767,3
cell483,2
cell826,0
cell415,2
cell127,0
cell728,0
cell1025,0
cell218,0
cell741,0
cell1761,3
cell1936,2
cell1785,3
cell1697,3
cell1988,2
cell1428,0
cell1376,0
cell490,2
cell214,0
cell852,0
cell1218,0
cell1995,2
cell1865,2
cell534,2
cell1819,2
cell1338,0
cell735,0
cell572,2
cell35,0
cell700,0
cell906,0
cell98,0
cell1926,2
cell1366,0
cell1046,0
cell286,1
cell614,0
cell209,0
cell385,1
cell515,2
cell734,0
cell207,0
cell1930,2
cell639,0
cell378,1
cell1364,0
cell1138,0
cell1417,0
cell1079,0
cell962,0
cell1320,0
cell478,2
cell291,1
cell959,0
cell689,0
cell1846,2
cell256,1
cell1524,0
cell123,0
cell197,0
cell558,2
cell379,1
cell1486,0
cell1649,3
cell453,2
cell1703,3
cell1051,0
cell317,1
cell1088,0
cell780,0
cell347,1
cell1878,2
cell807,0
cell1409,0
cell754,0
cell1334,0
cell965,0
cell1541,0
cell233,0
cell1748,3
cell985,0
cell804,0
cell1393,0
cell1604,3
cell1279,0
cell1058,0
cell402,1
cell1085,0
cell441,2
cell1374,0
cell1956,2
cell921,0
cell1472,0
cell1624,3
cell1579,3
cell1020,0
cell1019,0
cell1773,3
cell917,0
cell1672,3
cell492,2
cell584,2
cell793,0
cell319,1
cell835,0
cell1880,2
cell146,0
cell1095,0
cell1029,0
cell1658,3
cell1799,3
cell230,0
cell144,0
cell1202,0
cell1717,3
cell175,0
cell1210,0
cell893,0
cell120,0
cell1707,3
cell720,0
cell311,1
cell516,2
cell30,0
cell518,2
cell1673,3
cell1094,0
cell622,0
cell889,0
cell1550,3
cell1990,2
cell1667,3
cell1721,3
cell785,0
cell771,0
cell361,1
cell1638,3
cell498,2
cell988,0
cell585,2
cell1323,0
cell1906,2
cell1603,3
cell538,2
cell310,1
cell1325,0
cell855,0
cell1891,2
cell360,1
cell427,2
cell349,1
cell1171,0
cell370,1
cell1670,3
cell1351,0
cell884,0
cell1179,0
cell1498,0
cell1531,0
cell829,0
cell1734,3
cell1408,0
cell416,2
cell610,0
cell590,0
cell725,0
cell1509,0
cell1199,0
cell653,0
cell1909,2
cell1381,0
cell432,2
cell1256,0
cell1215,0
cell717,0
cell1709,3
cell606,0
cell1732,3
cell924,0
cell51,0
cell1436,0
cell1011,0
cell765,0
cell1216,0
cell699,0
cell1666,3
cell513,2
cell78,0
cell1972,2
cell1633,3
cell475,2
cell930,0
cell1284,0
cell843,0
cell221,0
cell1109,0
cell1243,0
cell1711,3
cell192,0
cell635,0
cell458,2
cell362,1
cell761,0
cell1837,2
cell789,0
cell1034,0
cell1529,0
cell1623,3
cell1727,3
cell1876,2
cell202,0
cell983,0
cell833,0
cell1543,0
cell1448,0
cell1713,3
cell1010,0
cell1244,0
cell1699,3
cell1651,3
cell1431,0
cell457,2
cell462,2
cell812,0
cell1947,2
cell666,0
cell1303,0
cell1189,0
cell1307,0
cell1852,2
cell130,0
cell1383,0
cell1304,0
cell1182,0
cell1420,0
cell770,0
cell1559,3
cell1646,3
cell359,1
cell1911,2
cell944,0
cell1056,0
cell1261,0
cell257,1
cell1835,2
cell1869,2
cell1001,0
cell1517,0
cell570,2
cell1554,3
cell925,0
cell1310,0
cell1800,3
cell1591,3
cell128,0
cell526,2
cell6,0
cell694,0
cell795,0
cell1754,3
cell277,1
cell1099,0
cell537,2
cell782,0
cell410,1
cell1107,0
cell1101,0
cell926,0
cell177,0
cell1311,0
cell386,1
cell1744,3
cell1577,3
cell632,0
cell939,0
cell1553,3
cell1859,2
cell919,0
cell1305,0
cell436,2
cell342,1
cell1155,0
cell950,0
cell1339,0
cell32,0
cell162,0
cell301,1
cell100,0
cell601,0
cell1346,0
cell747,0
cell781,0
cell1704,3
cell303,1
cell1108,0
cell1788,3
cell879,0
cell1691,3
cell1434,0
cell1170,0
cell1286,0
cell115,0
cell19,0
cell574,2
cell853,0
cell1966,2
cell618,0
cell821,0
cell1123,0
cell1223,0
cell1659,3
cell1775,3
cell1696,3
cell437,2
cell1035,0
cell59,0
cell664,0
cell9,0
cell355,1
cell383,1
cell878,0
cell531,2
cell742,0
cell1522,0
cell1882,2
cell1005,0
cell1858,2
cell1377,0
cell645,0
cell1073,0
cell1260,0
cell692,0
cell326,1
cell501,2
cell1853,2
cell935,0
cell1570,3
cell431,2
cell661,0
cell1832,2
cell47,0
cell204,0
cell132,0
cell702,0
cell563,2
cell682,0
cell726,0
